# Name,Type,Cost,Code,Special,Text,Flavour text,Starter,Box,Deck,Start,End
,,,,,,,,,,,
### AUTOMATICALLY GENERATED DATA FILE - DO NOT EDIT ###,,,,,,,,,,,
,,,,,,,,,,,
Nebula Shard,G,3,,,Gain 2$.#OR#Gain 1$ for each spell you cast during your casting phase this turn.,"""I do have to give your gems some credit. They are very beautiful."" - Ilya",,Legacy of Gravehold (Azer),,02,9
Irradiated Jewel,G,4,,,"Gain 2$.#tiny  You may reveal the top card of the turn order deck to gain an additional 1$. If a player card was revealed, overheat this card.#tiny  If this card is fully overheated, destroy it and Gravehold suffers 3 damage.","""Be careful with this one. It has something of the Void in it."" - Qu",,Legacy of Gravehold (Azer),,09,16
Leviathan Shell,G,5,,,"Gain 2$.#If you have played two or more other gems or relics that cost 3$ or more this turn, boost this. Gain an additional 1$ for each boost mark on this card.","""The Portalborn are filled with magic. Even when they're gone, their remnants are still connected to it."" - Perth, Frayed Fuse",,Legacy of Gravehold (Azer),,16,23
Frozen Light,G,5,,Gain 3$.,"You may discard this during any ally's turn. If you do, they gain 1 charge and you gain 1 charge.","""Beautiful, intangible, transient."" - Ilya",,Legacy of Gravehold (Azer),,10,17
Voidsteel Vein,G,4,,Gain 2$.,"You may discard this when any ally casts a spell that costs 1$ or more. If you do, that spell deals 2 additional damage.","""Dual-sided. I like it."" - Qu",,Legacy of Gravehold (Azer),,22,29
Starglass,G,3,,,Gain 2$.#Or#Conjure.,"""Properly refined, this material was once used to view the galaxies above. Or so the stories say."" - Yan Magda",,Legacy of Gravehold (Azer),,06,13
Scrying Sugilite,G,3,,,"Gain 2$.#You may reveal the top card of your deck. If it is a spell, gain an additional 1$.","""A facet of what might be, charged by those who prepare for that future."" - Lexive, Arcane Scholar",,Legacy of Gravehold (Gravehold),,02,9
Cobalt Clump,G,4,,,"Gain 2$.#The next time you gain a card that costs 5$ or more this turn, silence a minion.","""Reminds me of the water. Hopefully this won't take too long and I can return to my excavation."" - Gygar",,Legacy of Gravehold (Gravehold),,09,16
Aether Dust,G,5,,,Gain 2$.#Each ally gains an$ token.,"""It's almost like many gems fused together into a conglomerate. I've never seen the like!"" - Kadir",,Legacy of Gravehold (Gravehold),,16,23
Sunken Onyx,G,3,,Gain 2$.,"You may discard this after any ally focuses a breach. If you do, they focus that breach again.","""Not so sunken anymore, now that I've retrieved it from the ruins of Old Gravehold."" - Gygar",,Legacy of Gravehold (Gravehold),,10,17
Glint Splinter,G,4,,"Recall: You may discard a prepped spell. If you do, gain 1$ and you may place the next card you gain this turn on top of your deck.",Gain 2$.,"""Glinty!!"" - Claudia",,Legacy of Gravehold (Gravehold),,06,13
Darklite Sample,G,3,,,Gain 2$.#You may place your deck into your discard pile without rearranging the cards.,"""Rearranging the future was the only way I will be able to understand it."" - Nook",,Legacy of Gravehold (Gravehold),,23,30
Galactum Cache,G,4,,,"Gain 2$.#Any ally draws cards equal to the boost marks on this card. Then, they discard that many cards.#The next time you gain a card that costs 6$ or more this turn, boost this.","""A bit of star stuff, fallen to the ground."" - Inco",,Legacy of Gravehold (Gravehold),,06,13
Shattered Rupix,G,5,,"When another card or effect would cause you to discard or destroy this, you may return this to your hand. (Ignore this effect while this card is in the supply.)",Gain 3$.,"""The more imperfections there are, the more places to wiggle your fingers into and grip tight!"" - Talix",,Legacy of Gravehold (Gravehold),,23,30
Shifter's Cloak,R,3,,,"Focus any player's breach. If that breach is opened this way, boost this.#If this card is fully boosted, cast any player's prepped spell. It deals an additional 1 damage.","""I suppose we're officially fugitives now. We should be cautious."" - Taqren",,Legacy of Gravehold (Azer),,23,28
Lightbringer Staff,R,6,,,The players collectively destroy up to two cards in their hands.#OR#Silence up to two minions.#OR#Destroy this. Remove a fire token from your location on the map.,"""Let me show you all the wonders of the surface world."" - Ilya",,Legacy of Gravehold (Azer),,28,33
Brimstone Battery,R,4,,,"Any player destroys a card in their hand or discard pile. If that card costs 3$ or more, boost this.#OR#Attach this to any player's breach. When a spell is cast from this breach, if this card is fully boosted, Gravehold gains 1 life.","""I just want to protect my home, and all the people who need me."" - Taqren",,Legacy of Gravehold (Azer),,17,22
Martyr's Bone,R,3,,,Focus one of your breaches or Conjure.#You may lose 1 charge to do both.,"""I found it in one of these abandoned houses. I hope they'll be glad to know they'll be of aid to us in defending their village."" - Indira",,Legacy of Gravehold (Azer),,18,23
Summoner's Horn,R,5,,Recall: Discard a card to gain 1 charge.,Any player may prep a spell in their discard pile to their opened or closed breaches.,"""I wanted to call it the 'Rip, get over here' horn but apparently nobody likes my naming schemes."" - Razra",,Legacy of Gravehold (Azer),,06,11
Phoenix Quill,R,6,,Two different players gain 1 life each.,A@ Recall: Lose 1 charge to return a card that costs 3$ or less from your discard pile to your hand.,"""Once more from the ashes, as I myself have come."" - Thraxir",,Legacy of Gravehold (Azer),,16,21
