# Name,Title,Complexity rating,Ability name,Charges,Type,Code,Ability,Special text,Starting Breach Positions,Hand,Deck,Special I,Special II,Special III,Special IV,Flavour,Box
,,,,,,,,,,,,,,,,,
### AUTOMATICALLY GENERATED DATA FILE - DO NOT EDIT ###,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Gygar,Treasure Hunter,4,Contained Burst,5,M,,Cast two of your prepped spells without discarding them.,"At the end of your casting phase, place a storm token on each of your prepped spells. When a spell is cast, it deals +1 damage for each storm token on it. When a spell with storm tokens on it is discarded, discard the storm tokens on it. Each spell can have no more than 3 storm tokens on it.","0,3,3,3","C,C,C,GH-1b-05,S","C,C,C,S,S",,,,,"Sometimes I forget that the entire leadership of New Gravehold is made up of senior mages, because they never seem to do anything but talk. The debates these people wrap themselves up in, what kind of magic should be allowed, who should get to live here, what is an appropriate punishment for dabbling in the Void, all discussion and never any action. It took me months to even obtain permission for my exploratory missions into the sunken ruins of Old Gravehold. In the time it took for them to sign off on my mission, I could have traveled there and been a hundred leagues deep ten times over. Who knows what important mysteries I could have uncovered? newline I've never had much patience for people who can't appreciate the importance of history. Why bother debating questions when we could simply seek the answers buried beneath our feet? Let the elders squabble over how best to protect our city. I have everything I need waiting in the unexplored crevices of the depths.",Legacy of Gravehold (Gravehold)
Kadir,Gemcrafter,5,Refine Prototype,5,M,,"Either choose a side of a path token that is not on your mat and place it on your mat or flip over one of the path tokens on your mat. Then, if you have four path tokens on your mat, set one aside.#Resolve all of the path tokens on your mat in any order.",Set aside all of the path tokens. ,"0,3,3,3","C,C,C,GH-1b-15,S","C,C,C,C,S",,,,,"It's easy to forget the old ways, living here on the surface. These traditions, these practices, they were not forged out of thin air. They were not invented purely to sate a need for control. Brama brought the sister-words back to us from the World That Was. She taught them to me, she taught them to all of us. Without our connection to breach magic, the creatures that roamed the tunnels beneath Gravehold would have long ago slaughtered us all. I used to take the young students down into the caves for their Ordeal. I know what lurks in the dark in this world. I know why we build these walls. newline Z'hana has always wanted more than she needed. When we lived below the surface, she would go everyday and pull at the stones blocking up the tunnel our ancestors once fled through. She thought no one knew, but I saw her sneak over the walls each night. I know what it's like to be hungry for knowledge--I'm still a scientist--but I tremble to think what would have happened if she'd succeeded. She would have brought the Nameless of the surface down on us just to satisfy her curiosity. newline I suppose what I'm saying is, Z'hana is my friend and my comrade and we've fought side by side a thousand times. But I'm not surprised she has brought destruction down on us because of her selfishness. And now I have a family. I have a daughter who could not have an Ordeal of her own because Xaxos's same dread curiosity destroyed our home. Z'hana has brought everything that is coming to her on herself.",Legacy of Gravehold (Gravehold)
Lost,Forgotten Forge,3,Encase in Steel,4,M,,Deal damage equal to the number of spells in your discard pile.,,"0,0,4,3","C,C,C,GH-1b-25,S","C,C,GH-1b-29,S,S",,,,,"""I was a bit hesitant bringing Lost on my expedition beneath the waters that have flooded the ruins of old Gravehold considering the fact that he seems to be made of fire, but Lost was very insistent on going. I suppose when you've got nothing else, there's no reason not to risk it all on gaining a little something back. Either way, the enchantment held and the heart of fire which is bound to his armor didn't even flicker when submerged completely. We found all kinds of treasures down there--it seems there's more to discover every time I delve--as well as a few surviving mages living in the air pockets of the tunnels, fending off the aquatic Nameless who had taken over the ruins of our old home. A helpful reminder, perhaps, that Lost is far from the strangest thing to find in this world of ours. newline ""At the very back of one of the tunnels we found a doorway that I could barely make out beyond the rockslide pinning it closed. I thought it'd be too big of a project to dig out, but Lost refused to move from the spot. He just kept slamming his hammer against the rocks again and again like a man possessed, so there was nothing to do but assist him. newline ""Inside the door was a small blacksmith's workshop, a dozen scattered journals, and an old reclining corpse, bones turning yellow in the light of Lost's glow. I left him alone, then, to gather what he wanted from the room. I have my theories, of course, of what we discovered there, but every man deserves his privacy. In truth, this isn't my story to tell."" newline -Gygar, Treasure Hunter",Legacy of Gravehold (Gravehold)
Malastar,Inventor,4,Burst of Inspiration,5,M,,Draw a card from the top or bottom of the Inventions deck and place it into an ally's hand.,Shuffle all of the Invention cards together facedown to form the Inventions deck. Cards in this deck can only be gained using Malastar's Burst of Inspiration ability.,"0,2,3,3","C,C,C,GH-1b-35,S","C,C,C,S,S",,,,,"Z'hana's basically like a sister to me, but every family has its problem children. When I heard Inco and Razra talking about a mysterious traitor mage who could control Nameless, I'll admit, my mind went straight to her. I'm not surprised to discover I was right. She's always wanted to push the boundaries. Sometimes figuratively, with explorations of nontraditional magic that stepped beyond the sister-words, sometimes literally with the way she constantly brought up leaving Gravehold and exploring the World That Was. Ideas like that had her thrown in the Crypts more often than not, but she never stopped. Kadir thinks that makes her a fool. I give her slightly more credit. newline You have to dedicate yourself to something, to survive in this world. I've dedicated myself to Kadir, my precious gem, and to my inventions. I've dedicated myself to all the students I taught the traditional ways of breach magic. I've dedicated myself to my Claudia. Z'hana has picked more dangerous pursuits. I'd thought settling down with Soren might tame her rebellious spirit. With Taqren to protect I thought she'd want simplicity. But the safe life has never been enough for Z'hana. I don't want to fight my friend. I don't want to believe my friend would fight me. But I've known Z'hana too long to delude myself about her dangerous ideas.",Legacy of Gravehold (Gravehold)
Inco,Growing Soul,6,Uproot ,5,M,,Harvest up to two cards in your hand or discard pile. Resolve the Harvest effects of these cards twice.#OR#Gravehold gains 5 life.,"Only cards that start the game in Inco's hand or deck can be Harvested. When a card is Harvested, destroy it.","0,3,3,3","L2-IT-07,L2-IT-08,L2-IT-09,L2-IT-11,L2-IT-06","UNKNOWN,UNKNOWN,UNKNOWN,L2-IT-10,UNKNOWN",,,,,"I need no lecture about the dangers of working with the Void. Southpost was my home, the only home I remember having. Talix took me in, raised me there, and then Z'hana forced me to watch Necroswarm raze it to the ground. I almost lost everything: Razra, the only person who has ever understood me, and Talix, my protector. Even the life-giving crops of New Gravehold were wilting before my eyes. Every human who had seen past my exterior and accepted me as one of them would starve to death, all because of the creature Z'hana brought to our city. So I know the horrors that can be inflicted by a mage who believes herself important enough to control the Void. newline But that same Necroswarm who caused so much devastation was the one who found me as a child, wandering the surface wilds, who nurtured me, who taught me the flowering magics that even now still ostracize me from my brethren. It was as much mother as I can remember having. I will not and cannot dismiss the soil that once fostered me, just because now it has turned fallow and salted. newline It is not magic that corrupts. The magic is nothing but potential. It is the individual wielding that magic who rots or flourishes, depending on the choices they make.",Legacy of Gravehold (Gravehold)
Talix,Heart of Flame,6,Soaring Ash,5,M,,Cast any number of your prepped Sparks. Those spells deal 2 additional damage.#You may destroy a Spark in your discard pile.,,"0,0,3,4","C,L2-IT-13,S,S,S","C,S,S,S,UNKNOWN",,,,,"You know, it's funny. Just a few weeks ago Soskel was telling me that he feels too old for all of this. And now our whole city is on the brink of war with a woman almost thirty years my senior and all I can think is I'm too young for all of this. It's like I was born into a conflict already halfway to its conclusion. It only strikes me now because I see Inco and I feel like I adopted him into all of this mess. I promised him a home and I've given him a battlefield. Southpost seems to spend more time under attack than not these days. So I get Soskel's desire to just leave it all behind. Go north, past the remote outpost he's been working at up there, build a little cottage or something and just live there, the three of us, without any responsibilities. newline But the kid, Inco, he'd never go for it. He's so fired up about defending our home and it reminds me of what's really important. He reminds me of myself at his age, which is funny considering I'm not actually his dad, but maybe that's just how young folks are. And as a parent, I guess I owe it to the next generation to suck it up and do what I can to fight. Someone's gotta make sure there's still a home for the kids to protect in the future. And once that's done? If it's ever done? Maybe Soskel and I can take a well earned retirement then.",Legacy of Gravehold (Gravehold)
Arachnos,Void Weaver,7,Weaver's Web,5,M,,Return up to three cards that cost 4$ or less from your discard pile to your hand.#OR#Any player gains 3 life.,,"0,2,3,3","C,C,C,L2-XA-02,S","C,C,C,C,S",,,,,"I cannot say that I am ungrateful for this second chance at life. I did so much wrong with the one I had before. It is a grace few receive to be able to truly begin again. If it were not for Z'hana, and my master Xaxos, of course, I would have simply died in infamy, known only as the monster I let myself become. I will forever be grateful to her for stepping beyond the boundaries of what the Elders taught was safe, for if she had not transgressed by stepping into the Void, Dezmodia and I would have been condemned to a fate worse than death. That of Thraxir--mindlessly turned against our fellow mage. newline However, I am not blind to the fact that it was my own transgressions into Void magic that transformed me into that monster in the first place. I was the one who became the World Devourer, of my own will, seeking strength. The Void has both doomed and saved me. I cannot simply abandon it. The Void's evil is not inherent: it rests in the flawed hearts of mages. I can see that, now that I have eyes enough.",Legacy of Gravehold (Azer)
Dezmodia,Void Phantom,5,Void Tear,5,M,,Return up to two spells from your discard pile to your hand.#You may prep two additional spells to each of your opened breaches this turn.,,"9,3,4,9","C,C,C,C,L2-XA-04","C,C,C,C,L2-XA-03",,,,,"It is odd, returning to this world after everything I have been through. When I was traveling in the Void with Xaxos, something in me felt like I belonged there now. This body, part Nameless, reminds me constantly of the unnatural nature of my existence. The people I once considered my family, Brama, Z'hana, their concerns are so small. So insignificant. Petty political infighting will mean so little in the face of the true calamity that threatens our very existence. There is something waiting for us in the Void. Something large, and growing ever larger, like a storm cloud I can see gathering strength on the horizon. newline They do not see it. They are not prepared. And so I suppose it falls to me yet again to be their defender. I will join their pointless infighting if it means it will resolve all the sooner and I can still save myself from having to watch my home crumble before me yet again. Twice is too many times to lose everything. So although I am tired, although I no longer feel the instinct for compassion, I can still make the choice to do what's right. To defend these people I know I love. newline I just hope it will be enough.",Legacy of Gravehold (Azer)
Xaxos,Reckoner,4,Expand Potential,6,M,,"Look at and gain the top card of the Reckoning deck. Then, place it on top of your deck.#OR#Return one Reckoning card from your discard pile to your hand.",Shuffle all of the Reckoning cards together facedown to form the Reckoning deck. Cards in this deck can only be gained using Xaxos's Expand Potential ability.,"0,2,4,4","C,C,C,L2-XA-05,S","C,C,C,C,S",,,,,"Standing here, on the brink of what could very well be the culmination of my life's work, it seems appropriate to take a moment to reflect. If you had asked me, in my younger days, if I would be all right being secondary to Z'hana's own rebellion, I probably would have laughed. I thought very highly of my own investigations into Void magic. I thought that truly no one else was taking the same kind of risks, pushing the boundaries of a mage's capabilities as much as I was. I fancied myself a visionary, a lone wolf, a genius yet unappreciated in my time. newline Now I realize how foolish that all was. All my wild experimentation, and the most I achieved was to destroy my own city, kill my own friends, disfigure myself in this way, and ultimately abandon Qu. My daughter. The only good thing I've managed to create. And all the while, as I lashed out like a child, Z'hana was there as well. My students Arachnos and Karak, Yan Magda and Indira, Mist, Dezmodia, Garu. So many of my peers who saw, just as I did, that the Void could be more than how we used it. But I turned my back on them in order to pretend I was the only one who dared transgress Brama's boundaries. To prove I was alone, the way I'd always felt I was. If I had opened my eyes sooner to the allies all around me, I imagine this war could have happened long ago. And there would be far less blood on my hands.",Legacy of Gravehold (Azer)
Mazra,The Learned,6,Research,4,M,,"Destroy a card with ""Mazra"" in its name in your hand. Gain a card with ""Mazra"" in its name from your personal upgrade deck that costs up to 3$ more than the destroyed card and place that card into your hand.#OR#Return to your hand all cards with ""Mazra"" in their name in your discard pile.","Mazra's III breach is the Research breach. When a spell is cast from an opened Research breach, the player who cast that spell gains 1 charge. newline Set aside all cards with ""Mazra's"" in their name that cost more than 0 \Money. These form Mazra's personal upgrade deck. Cards in this deck can only be gained using Mazra's Research ability.","0,4,3,4","C,C,C,C,L2-MS-05","C,C,C,C,UNKNOWN",,,,,"Ironic, isn't it, that after all my dedicated hard work to gain the necessary knowledge and skill to serve on the council of elders, it is my sister who began to work with them first. I am, of course, not begrudging her for getting kidnapped by Z'hana. I doubt it was her intention. Razra just has the kind of chaotic spirit that makes trouble manifest itself around her. newline It was something of a shock when Razra told us all the tale of a traitor mage who had used the aether of living beings to manipulate the mind of a Nameless. For one, I have been through the entirety of the surviving archives of magical texts in this city and I've never seen anything about using a human's aether, or about the creation of such glyphs. For the other, in spite of my prodigious talents, I do admit I viewed the council with the wide eyes of a child. The idea that one of the mages I had admired could, in her mindless pursuit of power, nearly kill my own sister, struck me deep to the core. That's why I didn't argue when Brama suggested I take a sabbatical from my studies to help Soskel with the management of the Northern Outpost. I needed a break. I've had a taste now, of the moral complexities that lie behind leadership, and I'm not sure I'm cut out for that life.",Legacy of Gravehold (Gravehold)
